5128,003.mp3,#2014-01-09 21:13:53#,47779,2.145,?,?
5432,008.mp3,#2014-01-09 21:21:46#,47362,2.272,?,?
5270,006.mp3,#2014-01-09 21:17:34#,63661,2.386,?,?
5740,014.mp3,#2014-01-09 21:26:48#,34168,2.378,?,?
6296,050.mp3,#2014-01-09 21:37:00#,113581,2.794,?,?
6441,123.mp3,#2014-01-09 21:41:56#,190067,2.637,?,?
6296,049.mp3,#2014-01-09 21:37:00#,960366,3.103,?,?
5481,040.mp3,#2014-01-09 21:22:50#,218489,3.744,?,?
5482,020.mp3,#2014-01-09 21:22:54#,4494,3.557,?,?
6287,005.mp3,#2014-01-09 21:35:58#,960366,3.749,?,?
6095,005.mp3,#2014-01-09 21:33:21#,18704,15.238,?,?
5813,027.mp3,#2014-01-09 21:28:43#,286198,16.569,?,?
5964,003.mp3,#2014-01-09 21:31:56#,54231,16.816,?,?
5605,003.mp3,#2014-01-09 21:24:14#,178783,19.158,?,?
6115,007.mp3,#2014-01-09 21:33:37#,42946,19.068,?,?
6123,004.mp3,#2014-01-09 21:33:45#,7420,20.992,?,?
6298,011.mp3,#2014-01-09 21:37:08#,481803,21.464,?,?
6072,003.mp3,#2014-01-09 21:33:00#,189650,24.909,?,?
5237,005.mp3,#2014-01-09 21:16:24#,34403,33.737,?,?
5669,002.mp3,#2014-01-09 21:24:57#,131553,34.624,?,?
6150,066.mp3,#2014-01-09 21:35:08#,960184,32.746,?,?
6430,078.mp3,#2014-01-09 21:40:58#,59664,37.49,?,?
5586,005.mp3,#2014-01-09 21:24:00#,67605,41.824,?,?
5668,002.mp3,#2014-01-09 21:24:56#,80144,43.159,?,?
5683,004.mp3,#2014-01-09 21:25:05#,19540,43.259,?,?
6099,004.mp3,#2014-01-09 21:33:24#,34169,42.013,?,?
6109,004.mp3,#2014-01-09 21:33:32#,94355,43.232,?,?
5313,006.mp3,#2014-01-09 21:18:16#,170423,47.967,?,?
5406,004.mp3,#2014-01-09 21:20:47#,25810,53.006,?,?
5461,003.mp3,#2014-01-09 21:22:07#,85160,47.178,?,?
5603,002.mp3,#2014-01-09 21:24:13#,91011,48.174,?,?
5660,015.mp3,#2014-01-09 21:24:51#,659854,47.685,?,?
5801,003.mp3,#2014-01-09 21:28:20#,48196,53.646,?,?
6055,006.mp3,#2014-01-09 21:32:39#,104804,48.707,?,?
6104,004.mp3,#2014-01-09 21:33:29#,104804,45.37,?,?
6107,005.mp3,#2014-01-09 21:33:31#,118178,46.113,?,?
6439,008.mp3,#2014-01-09 21:41:30#,127192,49.216,?,?
5645,002.mp3,#2014-01-09 21:24:38#,3239,63.407,?,?
5744,005.mp3,#2014-01-09 21:26:51#,45453,61.36,?,?
5752,008.mp3,#2014-01-09 21:27:00#,160393,60.226,?,?
6096,004.mp3,#2014-01-09 21:33:21#,27900,62.973,?,?
5606,003.mp3,#2014-01-09 21:24:15#,32497,75.975,?,?
5611,003.mp3,#2014-01-09 21:24:17#,71785,71.161,?,?
5573,004.mp3,#2014-01-09 21:23:53#,77219,87.796,?,?
5787,006.mp3,#2014-01-09 21:27:58#,51305,89.15,?,?
5273,013.mp3,#2014-01-09 21:17:41#,202188,96.242,?,?
5599,012.mp3,#2014-01-09 21:24:10#,328412,93.226,?,?
5713,009.mp3,#2014-01-09 21:26:12#,136986,99.4,?,?
5764,012.mp3,#2014-01-09 21:27:20#,134061,93.593,?,?
